RUTA,CASETA,PRECIO
TOLUCA-NUEVO LAREDO,EL DORADO,247
TOLUCA-NUEVO LAREDO,ATLACOMULCO SUR,247
TOLUCA-NUEVO LAREDO,CHICHIMEQUILLAS,110
TOLUCA-NUEVO LAREDO,LIB. OTE. S.L.P.,285
TOLUCA-NUEVO LAREDO,LIB. MATEHUALA,132
TOLUCA-NUEVO LAREDO,LOS CHORROS,279
TOLUCA-NUEVO LAREDO,LINCOLN,573
TOLUCA-NUEVO LAREDO,SABINAS,600
TOLUCA-NUEVO LAREDO,NVO LAREDO KM26,245
TOLUCA-TEHUACAN-LAREDO,EL DORADO,247
TOLUCA-TEHUACAN-LAREDO,XONACATLAN,429
TOLUCA-TEHUACAN-LAREDO,CHAMAPA AUTOVAN,938
TOLUCA-TEHUACAN-LAREDO,SAN MIGUEL,766
TOLUCA-TEHUACAN-LAREDO,CTO. EXT. MEXIQUENSE,160
TOLUCA-TEHUACAN-LAREDO,CTO. EXT. MEXIQUENSE,437
TOLUCA-TEHUACAN-LAREDO,CTO. EXT. MEXIQUENSE,392
TOLUCA-TEHUACAN-LAREDO,CTO. EXT. MEXIQUENSE,195
TOLUCA-TEHUACAN-LAREDO,CTO. EXT. MEXIQUENSE,450
TOLUCA-TEHUACAN-LAREDO,SAN MARCOS,628
TOLUCA-TEHUACAN-LAREDO,S.MARTIN PUE.,238
TOLUCA-TEHUACAN-LAREDO,LIB. PUEBLA,342
TOLUCA-TEHUACAN-LAREDO,AMOZOC,328
TOLUCA-TEHUACAN-LAREDO,TEHUACAN,155
TOLUCA-TEHUACAN-LAREDO,TEHUACAN,155
TOLUCA-TEHUACAN-LAREDO,AMOZOC,328
TOLUCA-TEHUACAN-LAREDO,LIB. PUEBLA,342
TOLUCA-TEHUACAN-LAREDO,S.MARTIN PUE.,238
TOLUCA-TEHUACAN-LAREDO,QUERETARO ARCO NORTE,1366
TOLUCA-TEHUACAN-LAREDO,PALMILLAS,440
TOLUCA-TEHUACAN-LAREDO,CHICHIMEQUILLAS,110
